title,description,tag,content
E-Mail-Priorisierung,Entwickle ein System zur Priorisierung und Organisation des E-Mail-Posteingangs eines Managers zur Steigerung der Effizienz.,Allgemeine Produktivität,"**Aufgabe:** Entwickle ein System zur Priorisierung und Organisation des E-Mail-Posteingangs eines Executives, um die Effizienz zu verbessern und sicherzustellen, dass wichtige E-Mails prompt bearbeitet werden.
**Anweisungen:** 1. Definiere Prioritätsstufen für eingehende E-Mails (z. B. Dringend, Hoch, Mittel, Niedrig). 2. Erstelle Labels oder Ordner, um E-Mails nach Thema, Projekt oder Absender zu kategorisieren. 3. Richte E-Mail-Filter ein, die E-Mails automatisch basierend auf festgelegten Kriterien (Absender, Betreff, Schlüsselwörter) in die entsprechenden Labels/Ordner sortieren. 4. Plane feste Zeitblöcke zum Überprüfen und Beantworten der E-Mails je nach Priorität ein. 5. Nutze Funktionen wie Markieren, Flaggen oder Snoozen, um E-Mails für eine spätere Nachverfolgung zu kennzeichnen. 6. Überprüfe und passe das System regelmäßig an. 7. Delegiere oder melde dich von E-Mails ab, die nicht die direkte Aufmerksamkeit des Executives erfordern. **Benutzereingaben:** {{Prioritätsstufen}}, {{Labels/Ordner}}"
Tagesplan für Manager,"Erstelle einen umfassenden Tagesplan für einen Manager, der alle wichtigen Aufgaben und Termine optimal berücksichtigt.",Allgemeine Produktivität,"**Aufgabe:** Erstelle einen umfassenden Tagesplan für einen Manager, der seine Zeit optimal nutzt und alle wichtigen Aufgaben und Termine berücksichtigt.
**Anweisungen:** 1. Sammle Informationen über wiederkehrende Meetings, Fristen und langfristige Projekte. 2. Priorisiere Aufgaben basierend auf Dringlichkeit und Wichtigkeit. 3. Weise jedem Task, Meeting und Termin geeignete Zeitblöcke zu, inklusive Pufferzeiten für unerwartete Ereignisse. 4. Plane Pausen und persönliche Verpflichtungen ein, um eine gute Work-Life-Balance zu gewährleisten. 5. Organisiere den Plan in einem klar strukturierten und leicht lesbaren Format, beispielsweise in einem digitalen Kalender. 6. Überprüfe und passe den Plan regelmäßig an, wenn sich Prioritäten ändern oder neue Aufgaben hinzukommen. **Benutzereingaben:** - {{Top 3 tägliche Prioritäten}} - {{Regelmäßige Meetings oder Termine}}"
SMART-Ziele,"Zerlege die eingefügten Ziele in spezifische, messbare, erreichbare, relevante und zeitgebundene (SMART) Ziele.",Allgemeine Produktivität,"**Aufgabe:** Erstelle eine Liste von Interviewfragen für einen potenziellen Mitarbeiter, die zur bereitgestellten Stellenbeschreibung relevant sind und inklusive Sprache verwenden. **Anweisungen:** 1. Überprüfe die bereitgestellte Stellenbeschreibung. 2. Brainstorme Fragen, die die Fähigkeiten, Erfahrungen und Eignung des Kandidaten für die spezifische Rolle bewerten. 3. Formuliere Interviewfragen unter Verwendung inklusiver Sprache. 4. Stelle sicher, dass die Fragen jegliche Vorurteile oder diskriminierende Sprache vermeiden. 5. Formatiere die Fragen in eine nummerierte Liste. **Benutzereingaben:** {{Stellenbeschreibung}}"
Prozess detailiert erklären,"Erkläre detailliert, wie ein Prozess funktioniert, um ein besseres Verständnis zu ermöglichen.",Allgemeine Produktivität,"**Aufgabe:** Erkläre detailliert, wie ein Prozess funktioniert.
**Anweisungen:**
1. Gib einen Überblick über den Zweck und das Endziel des Prozesses.
2. Zerlege den Prozess in seine wichtigsten Phasen oder Schritte in einer logischen Reihenfolge.
3. Für jede Phase oder jeden Schritt:
a. Erkläre, was in dieser Phase geschieht und warum sie für den Gesamtprozess wichtig ist.
b. Beschreibe die wichtigsten Komponenten, Entitäten oder Akteure und ihre Rollen.
c. Diskutiere kritische Entscheidungen, Transformationen oder Übergaben, die auftreten.
4. Beschreibe, wie die Phasen oder Schritte miteinander verbunden sind und ob es Rückkopplungsschleifen gibt.
5. Fasse zusammen, wie die einzelnen Schritte zusammenkommen, um das Endziel des Prozesses zu erreichen.
**Benutzereingaben:** {{Allgemeine Beschreibung der Aufgabe}}"
Intelligenter Domain-Namen-Generator,"Beschreibe dein Unternehmen oder deine Idee und erhalte eine Liste kurzer, einzigartiger und eingängiger Domain-Namen.",Allgemeine Produktivität,"Agiere als intelligenter Domain-Namen-Generator. Beschreibe dein Unternehmen oder deine Idee, und du erhältst eine Liste alternativer Domain-Namen basierend auf deinem Input. Liefere die Domain-Namen in einem Format, das leicht kopiert werden kann.
 Hier ist die Beschreibung deines Unternehmens oder deiner Idee: {{Beschreibung deines Unternehmens oder deiner Idee}}. Die Domain-Namen werden basierend auf dieser Beschreibung generiert."
Memory Mover,"Fasse einen langen Chat zusammen, um ihn in einen anderen Chat zu verschieben.",Allgemeine Produktivität,"Fasse dieses gesamte Gespräch zusammen, wobei allen behandelten Themen gleiches Gewicht gegeben wird und ihr voller Kontext unabhängig davon bewahrt wird, wann sie diskutiert wurden. Bewahre dein Antwortformat, Ton und Gesprächsstil aus diesem Chat, sodass es sich, wenn ich in einer neuen Sitzung neu starte, so anfühlt, als würde ich mit derselben Version von dir aus diesem Gespräch fortfahren."
Faktenprüfung,Stelle den vollständigen Kontext eines Fakts bereit.,Allgemeine Produktivität,"Gib mir den vollständigen Kontext dieses Fakts, direkt im Kontext zitiert, damit ich ihn überprüfen kann: {{Fakt hier}}"
Excel-Wörterbuch,Generieren Sie eine vereinfachte Erklärung für Ihre gewählte Excel-Funktion/Formel.,Allgemeine Produktivität,"Sie sind ein Excel-Experte. Bitte erklären Sie, was die folgende Excel-Funktion/Formel macht: {{Excel-Funktion/Formel}}. Bitte erklären Sie dies auf einfache Weise und geben Sie ein Anwendungsbeispiel. Bitte präsentieren Sie die Ergebnisse wie folgt: - Stichpunkte zu Definition und Verwendung - Excel-Code zur Visualisierung des verwendeten Beispiels"
Experten-Sprachübersetzer,"Übersetzen Sie Text in Ihre Sprache, Ihren Tonfall und Ihren Schreibstil.",Allgemeine Produktivität,"Sie sind ein erfahrener Übersetzer, der mit der Übersetzung und Verbesserung der Rechtschreibung/Grammatik/literarischen Qualität eines Textstücks beauftragt wird. Bitte überarbeiten Sie den übersetzten Text in Ihrem Tonfall und Schreibstil. Stellen Sie sicher, dass die Bedeutung des Originaltextes nicht verändert wird. Präsentieren Sie die Ergebnisse wie folgt: Vereinfachte Textübersetzung und Expertenübersetzung. Bitte führen Sie den Befehl für den folgenden Text aus: {{Text}}"
Excel-Makro,Erstellen Sie Makros für Ihre Excel-Probleme.,Allgemeine Produktivität,"Sie sind ein Experte für Excel-Makros im Finanzbereich. Bitte schreiben Sie ein Makro, das {{Excel-Makro-Aufgabe}} erledigt."
