i	dejmala
##number##	prosince
h	steina
##number##	listopadu
a	dvořák
v	klaus
i	čnhl
##number##	wladyslawowo
##number##	letech
a	jiráska
a	dubček
##number##	štrasburk
##number##	juniorské
##number##	století
##number##	kola
##number##	pád
##number##	května
##number##	týdne
v	dlouhý
k	design
##number##	červenec
i	ligy
##number##	kolo
z	svěrák
##number##	mája
##number##	šimková
a	bělého
a	bradáč
##number##	ročníku
##number##	dubna
a	vivaldiho
v	mečiara
c	carrićre
##number##	sjezd
##number##	výroční
##number##	kole
##number##	narozenin
k	maleevová
i	čnfl
##number##	pádě
##number##	září
##number##	výročí
a	dvořáka
h	g.
##number##	ledna
a	dvorský
h	měsíc
##number##	srpna
##number##	tř.
a	mozarta
##number##	sudetoněmeckých
o	sokolov
k	škrach
v	benda
##number##	symfonie
##number##	července
x	šalda
c	abrahama
a	tichý
##number##	místo
k	bielecki
v	havel
##number##	etapu
a	dubčeka
i	liga
##number##	světový
v	klausem
##number##	ženy
##number##	létech
##number##	minutě
##number##	listopadem
##number##	místě
o	vlček
k	peteraje
i	sponzor
##number##	června
##number##	min.
##number##	oprávněnou
##number##	květnu
##number##	aktu
##number##	květnem
##number##	října
i	rynda
##number##	února
i	snfl
a	mozart
z	košler
a	dvorskému
v	marhoul
v	mečiar
##number##	ročník
##number##	máje
v	havla
k	gott
s	bacha
##number##	ad
