##number##	skak
##number##	speedway
##number##	rally
##number##	april
##number##	dm-fin
##number##	viceformand
m	jensen
##number##	kano/kajak
##number##	bowling
##number##	dm-finale
##number##	årh.
##number##	januar
##number##	august
##number##	marathon
##number##	kamp
##number##	skihop
##number##	etage
##number##	tennis
##number##	cykling
e	andersen
##number##	december
g	h.
##number##	neb
##number##	sektion
##number##	afd.
##number##	klasse
##number##	trampolin
##number##	bordtennis
##number##	formel
##number##	århundredes
##number##	dm-semifin
##number##	heks
##number##	taekwondo
##number##	galop
##number##	basketball
##number##	dm
m	skræl
##number##	trav
##number##	provins
##number##	triathlon
k	axel
##number##	rugby
s	h.
##number##	klaverkoncert
a	p.
e	løgstrup
k	telefax
##number##	gyldendal
##number##	fodbold
e	rosenfeldt
##number##	oktober
k	o.
##number##	september
##number##	dec.
##number##	juledag
##number##	badminton
##number##	sejlsport
##number##	håndbold
r	førsund
e	jørgensen
d	##number##
k	e
##number##	alp.ski
##number##	judo
##number##	roning
##number##	november
##number##	atletik
##number##	århundrede
##number##	ridning
##number##	marts
m	andersen
d	roosevelt
##number##	brydning
s	kr.
##number##	runde
##number##	division
##number##	sal
##number##	boksning
##number##	minut
##number##	golf
##number##	juni
##number##	symfoni
##number##	hurtigløb
k	jørgensen
##number##	jörgen
##number##	klasses
e	jacobsen
k	jensen
##number##	februar
k	nielsen
##number##	volleyball
##number##	maj
##number##	verdenskrig
##number##	juli
##number##	ishockey
##number##	kunstskøjteløb
b	jørgensen
##number##	gymnastik
##number##	svømning
##number##	tw
i	pedersens
