##number##	sotelo
##number##	clas
##number##	buckler
##number##	carrera
##number##	rmo
##number##	orioli
w	baron
##number##	morales
##number##	snotselelaank
##number##	arcarons
##number##	cavandoli
##number##	pdm
##number##	helvetia
##number##	panasonic
##number##	motorola
w	bruinsma
##number##	heer
##number##	lotus
##number##	banesto
##number##	magnaldi
w	jense
w	heuvelmans
w	spatje
##number##	telekom
f	kennedy
##number##	gatorade
##number##	mg-gb
##number##	once
##number##	peterhansel
##number##	ariostea
##number##	tvm
##number##	höl
##number##	castorama
##number##	tulip
b	situatie
##number##	mas
##number##	lotto
