##number##	juuni
##number##	novembril
##number##	juulilt
r	järve-vomm
##number##	mida
n	liidu
##number##	milliseid
##number##	oktoobri
##number##	iidol
m	e
##number##	klassist
##number##	millest
##number##	august
##number##	pariis
##number##	septembrist
##number##	oktoober
##number##	märtsini
##number##	kust
k	mägi
##number##	detsembrist
##number##	jaanuari
##number##	epee
##number##	nimetage
##number##	novembrini
##number##	eluaasta
s	mill
##number##	helsingi
##number##	jaanuarini
##number##	aastail
##number##	augustil
##number##	millise
##number##	juulist
##number##	mai
##number##	novembri
##number##	oktoobrist
##number##	juunini
##number##	septembriks
##number##	detsembril
p	s
##number##	jaanuar
##number##	aastate
##number##	milline
##number##	kelle
##number##	jaanuaril
s	stadnikov
##number##	aastaks
##number##	stockholm
##number##	suurim
##number##	aasta
##number##	sajandi
##number##	millega
##number##	aastast
##number##	aastal
##number##	kumb
##number##	septembril
##number##	korruselt
##number##	septembri
##number##	veebruarini
##number##	london
##number##	aastatel
##number##	september
##number##	veebruari
##number##	oktoobrini
##number##	mail
m	kassovitz
##number##	action-film
##number##	mis
k	herkül
n	n
##number##	detsembrini
##number##	imre
t	jõgeda
##number##	casino
##number##	septembrit
##number##	augustini
##number##	juulil
##number##	november
##number##	kuupäeval
##number##	taevas
##number##	septembrini
##number##	detsember
##number##	detsembri
##number##	juunil
##number##	augustist
n	jurist
##number##	missugust
##number##	aastatesse
##number##	aprillil
##number##	augusti
##number##	oktoobril
##number##	märtsil
##number##	a
##number##	the
##number##	sajandil
##number##	aastani
##number##	juuli
##number##	septembrile
##number##	millist
##number##	millised
##number##	veebruaril
