m	skjærstad
##number##	plass
##number##	omgang
##number##	oktober
h	rowe
##number##	juni
##number##	september
##number##	klasse
##number##	mai
##number##	april
##number##	nyttårsdag
d	hillgaar
##number##	etasje
c	sundts
o	henrik
a	himle
a	robinson
m	bjelland
##number##	d.å.
##number##	runden
h	spang
##number##	etappen
##number##	mars-tog
##number##	februar
##number##	divisjonslaget
##number##	minutt
g	larsen
##number##	divisjon
##number##	januar
##number##	august
m	pedersen
m	lillebø
##number##	november
h	reimers
a	hoffman
##number##	jubileumsår
##number##	desember
d	hagesæther
##number##	divisjonsnivå
##number##	omgangen
n	kristiansen
##number##	skaff
##number##	divisjonslag
a	pettersen
##number##	divisjonskamper
##number##	plassen
##number##	juli
c	sjaastad
##number##	runde
##number##	viseformann
i	eliassen
##number##	mars
##number##	nurmis
i	hagen
